date,value
2020/7/2,4458
2020/7/3,4131
2020/7/4,4287
2020/7/5,3475
2020/7/6,5016
2020/7/7,4610
2020/7/8,4315
2020/7/9,4367
2020/7/10,4379
2020/7/11,3671
2020/7/12,3518
2020/7/13,3974
2020/7/14,3924
2020/7/15,4210
2020/7/16,5085
2020/7/17,4256
2020/7/18,4321
2020/7/19,4128
2020/7/20,4268
2020/7/21,5133
2020/7/22,4266
2020/7/23,3848
2020/7/24,4129
2020/7/25,4697
2020/7/26,4718
2020/7/27,4565
2020/7/28,4530
2020/7/29,4845
2020/7/30,5460
2020/7/31,4138
2020/8/1,4121
2020/8/2,3810
2020/8/3,4898
2020/8/4,4353
2020/8/5,4387
2020/8/6,3853
2020/8/7,3860
2020/8/8,3871
2020/8/9,3187
2020/8/10,3726
2020/8/11,4384
2020/8/12,4270
2020/8/13,4651
2020/8/14,5022
2020/8/15,4941
2020/8/16,4622
2020/8/17,4585
2020/8/18,4236
2020/8/19,3869
2020/8/20,4384
2020/8/21,3862
2020/8/22,3398
2020/8/23,3297
2020/8/24,3695
2020/8/25,3812
2020/8/26,3796
2020/8/27,4545
2020/8/28,4272
2020/8/29,4174
2020/8/30,4086
2020/8/31,4719
2020/9/1,4478
2020/9/2,3868
2020/9/3,4811
2020/9/4,4870
2020/9/5,3922
2020/9/6,3873
2020/9/7,4362
2020/9/8,4155
2020/9/9,4176
2020/9/10,4255
2020/9/11,4084
2020/9/12,3383
2020/9/13,3024
2020/9/14,3718
2020/9/15,3725
2020/9/16,3733
2020/9/17,3724
2020/9/18,3729
2020/9/19,3317
2020/9/20,3885
2020/9/21,4562
2020/9/22,5125
2020/9/23,4772
2020/9/24,5434
2020/9/25,5274
2020/9/26,4547
2020/9/27,4489
2020/9/28,4555
2020/9/29,4259
2020/9/30,5285
2020/10/1,4645
2020/10/2,3460
2020/10/3,3418
2020/10/4,3591
2020/10/5,4539
2020/10/6,4239
2020/10/7,4100
2020/10/8,4718
2020/10/9,4310
2020/10/10,3295
2020/10/11,3088
2020/10/12,3361
2020/10/13,3465
2020/10/14,3992
2020/10/15,3926
2020/10/16,3801
2020/10/17,4087
2020/10/18,3946
2020/10/19,4505
2020/10/20,4244
2020/10/21,3309
2020/10/22,4341
2020/10/23,4003
2020/10/24,3892
2020/10/25,4025
2020/10/26,3503
2020/10/27,3402
2020/10/28,3470
2020/10/29,3707
2020/10/30,4215
2020/10/31,3719
2020/11/1,3569
2020/11/2,3523
2020/11/3,3189
2020/11/4,3551
2020/11/5,3319
2020/11/6,3263
2020/11/7,3199
2020/11/8,3928
2020/11/9,4080
2020/11/10,3590
2020/11/11,3708
2020/11/12,3190
2020/11/13,3373
2020/11/14,3364
2020/11/15,3463
2020/11/16,3147
2020/11/17,3202
2020/11/18,3361
2020/11/19,3314
2020/11/20,3643
2020/11/21,2928
2020/11/22,2765
2020/11/23,3144
2020/11/24,3134
2020/11/25,3306
2020/11/26,3144
2020/11/27,3495
2020/11/28,2977
2020/11/29,3287
2020/11/30,3320
2020/12/1,3237
2020/12/2,3050
2020/12/3,3168
2020/12/4,3084
2020/12/5,3618
2020/12/6,2691
2020/12/7,3106
2020/12/8,3164
2020/12/9,3094
2020/12/10,3086
2020/12/11,3129
2020/12/12,3282
2020/12/13,2830
2020/12/14,3022
2020/12/15,3012
2020/12/16,3020
2020/12/17,3000
2020/12/18,3047
2020/12/19,3047
2020/12/20,3616
2020/12/21,3072
2020/12/22,3199
2020/12/23,3076
2020/12/24,3545
2020/12/25,3418
2020/12/26,3066
2020/12/27,2869
2020/12/28,3135
2020/12/29,3094
2020/12/30,3118
2020/12/31,3154
2021/1/1,2767
2021/1/2,2936
2021/1/3,3037
2021/1/4,3032
2021/1/5,3067
2021/1/6,3102
2021/1/7,3102
2021/1/8,3106
2021/1/9,3201
2021/1/10,2906
2021/1/11,3093
2021/1/12,3116
2021/1/13,3114
2021/1/14,3132
2021/1/15,3309
2021/1/16,3046
2021/1/17,3034
2021/1/18,3157
2021/1/19,3158
2021/1/20,3150
2021/1/21,3074
2021/1/22,3097
2021/1/23,3203
2021/1/24,3073
2021/1/25,3269
2021/1/26,3219
2021/1/27,3064
2021/1/28,3286
2021/1/29,3203
2021/1/30,3447
2021/1/31,2906
2021/2/1,2938
2021/2/2,3045
2021/2/3,3006
2021/2/4,3132
2021/2/5,3060
2021/2/6,3066
2021/2/7,2763
2021/2/8,3047
2021/2/9,2880
2021/2/10,2888
2021/2/11,2833
2021/2/12,2992
2021/2/13,3024
2021/2/14,2911
2021/2/15,2645
2021/2/16,3002
2021/2/17,2824
2021/2/18,2907
2021/2/19,2885
2021/2/20,2975
2021/2/21,3139
2021/2/22,2989
2021/2/23,3109
2021/2/24,3049
2021/2/25,3029
2021/2/26,3041
2021/2/27,2758
2021/2/28,2672
2021/3/1,2832
2021/3/2,3221
2021/3/3,3075
2021/3/4,3088
2021/3/5,3268
2021/3/6,2805
2021/3/7,2752
2021/3/8,3110
2021/3/9,3048
2021/3/10,3055
2021/3/11,3077
2021/3/12,3272
2021/3/13,3075
2021/3/14,2933
2021/3/15,3074
2021/3/16,3087
2021/3/17,3183
2021/3/18,3214
2021/3/19,3137
2021/3/20,2839
2021/3/21,3186
